EXTRELNO,NAME1TITLE,POSTCODE,LANGUACODE
0003955,HM,8400,NL
0003956,HR,1190,FR
0003958,HM,5380,FR
0003960,HR,2018,NL
0003970,HR,2100,NL
0003971,HM,9240,NL
0003984,FA,3290,NL
0003985,HM,3010,NL
0003988,HM,2930,NL
0003992,HR,3110,NL
0003999,HR,7100,FR
0004008,MW,2800,NL
0004019,MW,9600,NL
0004021,MW,1150,FR
0004030,HR,2235,NL
0004031,HM,3600,NL
0004032,HM,2370,NL
0004042,HR,6800,FR
0004047,HR,8370,NL
0004050,HM,2950,NL
0004069,HR,1348,FR
0004077,HM,9140,NL
0004078,MW,9050,NL
0004088,MW,9000,NL
0004089,FA,9280,NL
0004091,HR,1080,NL
0004094,HR,3270,NL
0004095,HM,,NL
0004096,MW,1190,FR
0004112,HR,8550,NL
0004116,MW,2600,NL
0004117,HR,9990,NL
0004118,HR,8210,NL
0004120,HR,2490,NL
0004122,FA,8430,NL
0004123,MW,1150,NL
0004127,FA,9100,NL
0004128,HR,2531,NL
0004130,MW,2800,NL
0004131,MW,9830,NL
0004134,HM,2260,NL
0004139,MW,2800,NL
0004140,HM,9280,NL
0004147,HR,3271,NL
0004153,MW,2610,NL
0004156,FA,1970,NL
0004162,MW,3000,NL
0004167,HR,3620,NL
0004169,HM,9090,NL
0004175,MW,3560,NL
0004178,HR,9200,NL
0004188,HM,8930,NL
0004193,MW,4140,FR
0004198,FA,1150,NL
0004203,FA,9070,NL
0004207,HR,2242,NL
0004209,HM,8200,NL
0004210,HR,8730,NL
0004211,HM,1982,NL
0004212,HM,3740,NL
0004223,HR,3800,NL
0004237,HM,9042,NL
0004240,HR,6832,FR
0004242,FA,9940,NL
0004244,HR,8370,NL
0004252,HR,2800,NL
0004260,HR,2540,NL
0004263,HR,2610,NL
0004273,HM,1090,NL
0004275,FA,1850,NL
0004280,HM,2930,NL
0004282,HM,9060,NL
0004283,HM,7500,FR
0004286,HM,2300,NL
0004287,MW,9032,NL
0004292,HM,9270,NL
0004299,HM,8810,NL
0004301,HR,1180,FR
0004303,HR,2900,NL
0004304,HM,9150,NL
0004305,HM,2940,NL
0004316,FA,8800,NL
0004321,HR,2381,NL
0004324,HM,9031,NL
0004327,MW,8300,NL
0004329,HM,8420,NL
0004332,MW,2070,NL
0004339,HM,2440,NL
0004344,HR,2850,NL
0004351,HR,8310,NL
0004354,HM,8906,NL
0004365,JU,1420,FR
0004374,HM,2840,NL
0004382,MW,1360,FR
0004383,FA,2812,NL
0004387,MW,3500,NL
0004388,MW,2800,NL
0004389,HR,1180,FR
0004391,MW,3560,NL
0004394,MW,2640,NL
0004397,MW,8400,NL
0004405,HR,2360,NL
0004409,MW,2260,NL
0004410,HM,1780,NL
0004411,HM,8310,NL
0004416,HM,9921,NL
0004418,HM,9000,NL
0004425,HR,8755,NL
0004426,MW,2200,NL
0004427,HR,6700,FR
0004436,HM,1080,FR
0004447,HM,7140,FR
0004451,MW,2630,NL
0004452,MW,2140,NL
0004456,HM,9100,NL
0004461,HR,9180,NL
0004463,HM,9000,NL
0004465,FA,1981,NL
0004480,FA,3740,NL
0004482,HR,2500,NL
0004485,HR,2650,NL
0004486,,8750,NL
0004490,HR,3001,NL
0004497,HR,1190,FR
0004510,HM,1300,FR
0004511,MW,2540,NL
0004517,HR,1560,NL
0004519,HM,3001,NL
0004520,MW,8310,NL
0004525,HM,8200,NL
0004528,HM,2600,NL
0004529,HR,09500,FR
0004530,MW,5001,FR
0004531,HR,4537,FR
0004534,MW,3970,NL
0004535,HM,2350,NL
0004538,HR,9880,NL
0004540,HR,1340,FR
0004541,MW,1160,FR
0004546,HM,2930,NL
0004553,MW,2970,NL
0004554,HR,9111,NL
0004560,HR,4980,FR
0004568,HR,2980,NL
0004573,HR,1420,FR
0004586,MW,7890,FR
0004594,HR,3582,NL
0004599,HR,9820,NL
0004609,MW,3840,NL
0004626,HM,2870,NL
0004628,HM,5060,FR
0004634,HM,9840,NL
0004641,HM,2070,NL
0004642,HR,8570,NL
0004651,HR,9310,NL
0004652,HR,8500,NL
0004656,MW,2220,NL
0004673,HM,2140,NL
0004679,HM,8600,NL
0004681,MW,2660,NL
0004683,HM,9000,NL
0004685,HM,7070,FR
0004692,MW,3000,NL
0004693,HM,9991,NL
0004698,HR,2220,NL
0004706,MW,2020,NL
0004707,HM,1850,NL
0004708,HR,2970,NL
0004709,HM,3020,NL
0004710,JU,6700,FR
0004711,MW,4960,FR
0004714,MW,1602,NL
0004721,HM,2030,NL
0004727,HR,4000,FR
0004728,HR,1300,FR
0004729,MW,1083,FR
0004730,,9050,NL
0004732,HR,2140,NL
0004746,HR,9470,NL
0004760,FA,1380,FR
0004762,HR,8480,NL
0004767,HR,1850,NL
0004769,HR,9030,NL
0004774,HM,9070,NL
0004778,MW,2020,FR
0004779,MW,8000,NL
0004785,HM,2880,NL
0004788,HR,2382,NL
0004790,HR,1502,NL
0004806,HR,9060,NL
0004830,MW,9890,NL
0004832,HM,9830,NL
0004835,HR,2020,NL
0004837,HM,6032,FR
0004845,HR,8400,NL
0004847,FA,2520,NL
0004848,HR,2950,NL
0004851,HR,8020,NL
0004854,MW,2900,NL
0004858,HR,1040,FR
0004859,MW,4000,FR
0004864,HR,1861,NL
0004870,JU,3500,NL
0004885,JU,6780,FR
0004891,HR,2580,NL
0004893,HR,8902,NL
0004908,HM,4550,FR
0004912,HM,9990,NL
0004924,HR,00151,FR
0004925,HR,3294,NL
0004928,HM,2340,NL
0004934,MW,1740,NL
0004935,MW,2630,NL
0004943,MW,1380,FR
0004955,MW,9220,NL
0004963,HR,2320,NL
0004968,HR,3690,NL
0004972,HM,9000,NL
0004976,MW,9600,NL
0004983,HR,2018,NL
0004986,MW,2920,NL
0004990,HM,2431,NL
0005003,HR,3290,NL
0005006,HR,8670,NL
0005007,HM,2990,NL
0005012,HM,8560,NL
0005014,MW,3550,NL
0005018,HR,2000,NL
0005019,MW,E-,NL
0005020,HR,8501,NL
0005028,HM,2150,NL
0005031,MW,4800,FR
0005038,MW,2600,NL
0005049,,1800,NL
0005050,MW,1040,NL
0005052,MW,2950,NL
0005058,HM,4630,FR
0005061,MW,2800,NL
0005068,HR,1120,FR
0005072,HM,3550,NL
0005073,MW,1770,NL
0005082,HR,2930,NL
0005085,HM,2801,NL
0005086,MW,1200,NL
0005092,HR,2500,NL
0005105,HM,8400,NL
0005106,MW,9000,NL
0005109,MW,2970,NL
0005111,HM,8770,NL
0005118,MW,8000,NL
0005120,MW,8430,NL
0005127,HR,2180,NL
0005128,HM,2860,NL
0005131,MW,9300,NL
0005134,JU,3570,NL
0005138,HM,2550,NL
0005143,MW,2340,NL
0005145,HR,9100,NL
0005146,HR,3560,NL
0005147,HM,3052,NL
0005154,MW,2930,NL
0005164,HM,2800,NL
0005166,MW,8450,NL
0005170,HR,8540,NL
0005172,HM,3018,NL
0005174,HM,1180,NL
0005183,HR,3010,NL
0005184,MW,2630,NL
0005189,HM,8670,NL
0005190,HM,9051,NL
0005201,HM,2980,NL
0005204,HR,3740,NL
0005210,HR,2920,NL
0005215,HM,2950,NL
0005219,MW,3630,NL
0005232,MW,8980,NL
0005236,HM,9320,NL
0005239,MW,8300,FR
0005241,HM,2800,NL
0005246,HM,8900,NL
0005252,MW,2531,NL
0005257,HR,1501,NL
0005261,HM,1428,FR
0005270,HM,9300,NL
0005273,HM,3550,NL
0005279,MW,3080,NL
0005283,HR,1800,NL
0005289,HR,8620,NL
0005301,MW,9100,NL
0005303,HR,9112,NL
0005304,HM,2660,NL
0005313,MW,8000,NL
0005323,HM,1980,NL
0005324,HR,4210,FR
0005326,MW,9220,NL
0005328,HR,2170,NL
0005330,HM,8630,NL
