EXTRELNO,EXRELACTCD,EXTRELSTDT,EXRELDATEN
27708,FP,2005-05-29,2016-02-07
27719,FP,2005-05-29,NaT
27719,CT,2012-02-23,NaT
27720,FP,2005-05-29,NaT
27726,FP,2005-05-29,2006-03-28
27729,FP,2005-05-29,2015-08-24
27730,FP,2005-05-29,2009-08-27
27731,FP,2005-05-29,2015-05-27
27736,FP,2005-05-29,NaT
27743,FP,2005-05-29,NaT
27743,TR,2011-12-18,2017-03-26
27744,FP,2005-05-29,2015-09-08
27751,FP,2005-05-29,NaT
27757,FP,2005-05-29,NaT
27757,CT,2014-11-18,NaT
27759,FP,2005-05-29,2012-07-09
27763,FP,2005-05-29,NaT
27768,FP,2005-05-29,2011-08-03
27774,FP,2005-05-29,2009-01-07
27775,FP,2005-05-29,2019-12-18
27778,FP,2005-05-29,NaT
27778,CT,2014-07-21,NaT
27783,FP,2005-05-29,NaT
27787,FP,2005-05-29,NaT
27797,FP,2005-05-29,2008-04-06
27801,FP,2005-05-29,NaT
27801,CT,2010-12-07,NaT
27811,FP,2005-05-29,NaT
27811,CT,2008-02-03,NaT
27821,FP,2005-06-28,NaT
27821,CT,2011-12-27,NaT
27822,FP,2005-06-28,2008-08-06
27823,FP,2005-06-28,2013-12-19
27823,CT,2007-09-25,NaT
27827,FP,2005-06-28,NaT
27830,FP,2005-06-28,NaT
27830,CT,2014-03-06,NaT
27832,FP,2005-06-28,2006-09-27
27834,FP,2005-06-28,NaT
27842,FP,2005-06-28,NaT
27843,FP,2005-06-28,NaT
27846,FP,2005-06-28,2012-03-22
27847,FP,2005-06-28,2007-05-24
27863,FP,2005-06-28,NaT
27865,FP,2005-06-28,2011-06-14
27865,CT,2008-01-31,NaT
27867,FP,2005-06-28,2016-12-04
27868,FP,2005-06-28,NaT
27869,FP,2005-06-28,2016-01-04
27871,FP,2005-06-28,NaT
27871,CT,2008-01-30,NaT
27876,FP,2005-06-28,2012-06-12
27883,FP,2005-06-28,2008-04-21
27883,FP,2008-04-27,2008-11-03
27896,FP,2005-06-28,2017-12-05
27899,FP,2005-06-28,NaT
27900,FP,2005-06-28,NaT
27904,FP,2005-06-28,2005-11-27
27910,FP,2005-06-28,2007-12-19
27919,FP,2005-06-28,2011-09-12
27919,CT,2011-12-08,NaT
27920,FP,2005-06-28,NaT
27920,CT,2007-07-05,NaT
27942,FP,2005-06-28,NaT
27947,FP,2005-06-28,NaT
27951,FP,2005-06-28,NaT
27954,FP,2005-06-28,2012-01-31
27959,FP,2005-06-28,2007-07-29
27965,FP,2005-06-28,NaT
27967,FP,2005-06-28,2006-10-28
27968,FP,2005-06-28,NaT
27968,CT,2015-09-29,NaT
27970,FP,2005-06-28,2011-09-22
27971,FP,2005-06-28,NaT
27973,FP,2005-06-28,2015-02-05
27980,FP,2005-06-28,NaT
27988,FP,2005-06-28,2009-08-27
27993,FP,2005-06-28,NaT
27997,FP,2005-06-28,NaT
28004,FP,2005-07-29,NaT
28007,FP,2005-07-29,NaT
28008,FP,2005-07-29,2009-04-23
28008,TR,2008-05-18,2015-01-07
28009,FP,2005-07-29,2013-09-29
28009,CT,2013-10-15,NaT
28016,FP,2005-07-29,NaT
28016,TR,2011-12-08,2017-03-26
28031,FP,2005-07-29,2018-07-01
28035,FP,2005-07-29,NaT
28037,FP,2005-07-29,2016-10-12
28038,FP,2005-07-29,2018-03-21
28043,FP,2005-07-29,NaT
28043,CT,2011-11-29,NaT
28045,FP,2005-07-29,2013-02-03
28047,FP,2005-07-29,NaT
28048,FP,2005-07-29,NaT
28050,FP,2005-07-29,NaT
28050,CT,2012-04-30,NaT
28058,FP,2005-07-29,2009-02-15
28060,FP,2005-07-29,NaT
28063,FP,2005-07-29,2007-10-15
28071,FP,2005-07-29,2011-03-01
28071,CT,2008-02-05,NaT
28080,FP,2005-07-29,NaT
28080,CT,2008-02-04,NaT
28081,FP,2005-07-29,2010-09-19
28086,FP,2005-07-29,NaT
28086,CT,2017-10-29,NaT
28089,FP,2005-07-29,2008-01-15
28106,CT,2005-07-29,2006-04-27
28106,FP,2005-07-29,2006-04-27
28118,FP,2005-07-29,2018-12-26
28121,FP,2005-07-29,2015-07-08
28123,FP,2005-07-29,2016-02-02
28139,FP,2005-07-29,NaT
28142,FP,2005-07-29,2008-04-14
28146,FP,2005-07-29,NaT
28146,CT,2016-12-19,NaT
28148,FP,2005-07-29,NaT
28148,CT,2012-04-09,NaT
28156,FP,2005-07-29,NaT
28160,FP,2005-07-29,NaT
28160,CT,2017-10-29,NaT
28167,FP,2005-07-29,2014-04-01
28167,CT,2012-04-23,NaT
28173,FP,2005-07-29,2013-12-11
28174,FP,2005-07-29,2007-04-26
28176,FP,2005-07-29,2011-11-27
28193,FP,2005-07-29,NaT
28201,FP,2005-08-29,NaT
28201,CT,2016-11-27,NaT
28203,FP,2005-08-29,NaT
28211,FP,2005-08-29,NaT
28212,FP,2005-08-29,NaT
28218,FP,2005-08-29,NaT
28220,FP,2005-08-29,NaT
28230,FP,2005-08-29,2011-11-20
28235,FP,2005-08-29,NaT
28249,FP,2005-08-29,NaT
28252,FP,2005-08-29,NaT
28253,FP,2005-08-29,NaT
28253,CT,2013-05-12,NaT
28260,FP,2005-08-29,2019-02-06
28263,FP,2005-08-29,NaT
28266,FP,2005-08-29,2012-08-01
28267,FP,2005-08-29,NaT
28268,FP,2005-08-29,NaT
28268,CT,2013-11-20,NaT
28269,FP,2005-08-29,2011-11-10
28275,FP,2005-08-29,NaT
28275,CT,2012-12-04,NaT
28276,FP,2005-08-29,NaT
28282,FP,2005-08-29,2020-01-22
28283,FP,2005-08-29,2016-03-08
28293,FP,2005-08-29,NaT
28298,FP,2005-08-29,2008-06-09
28301,FP,2005-08-29,NaT
28301,CT,2015-09-10,NaT
28302,FP,2005-08-29,2008-05-27
28303,FP,2005-08-29,2014-04-02
28309,FP,2005-08-29,2014-04-07
28318,FP,2005-08-29,NaT
28322,FP,2005-08-29,NaT
28322,CT,2013-05-14,NaT
28328,FP,2005-08-29,NaT
28331,FP,2005-08-29,NaT
28338,FP,2005-08-29,NaT
28346,FP,2005-08-29,NaT
28356,FP,2005-08-29,2010-03-17
28357,FP,2005-08-29,NaT
28362,FP,2005-08-29,NaT
28362,CT,2013-04-11,NaT
28365,FP,2005-08-29,NaT
28365,CT,2015-03-25,NaT
28366,FP,2005-08-29,NaT
28367,FP,2005-08-29,2009-08-09
28371,FP,2005-08-29,2010-06-13
28382,FP,2005-08-29,2013-06-17
28382,CT,2010-12-07,NaT
