,Unnamed: 0,Monetary_score,Total_quantity,Number_order,recency_score,days_customer,amount_cc,amount_diet,amount_energy,amount_lemonade,amount_other,amount_sprite_fanta,amount_water,count,complaint,DaysLastcomp,Percentage_firstcall,DaysToClose,Daysdiff,ActualEmployees,CreditNumericScore,clv,spendingRatio,churn,high_value
3442,3442,109806.0,3192,1950,7,2487,14565.0,6276.0,17419.0,11711.0,33106.0,6443.0,20286.0,3,1,28.0,0.666666666666667,1.33333333333333,-0.333333333333333,8.0,84.0,2265630.0,0.0579148773006135,0,1
3445,3445,11676.0,980,287,1,2498,2126.0,1244.0,580.0,3326.0,404.0,3300.0,696.0,2,1,72.0,0.5,1.0,0.0,2.0,83.0,210120.0,0.0308546255506608,0,0
3450,3450,76213.4,2858,1833,1,2491,7766.0,12338.0,4620.0,4793.0,34114.4,3672.0,8910.0,0,0,176.208057355647,0.7117907011238371,0.7277596975855941,-0.3288417420051989,9.0,88.0,1500762.0,0.1094647702407,0,1
3467,3467,325202.0,19270,75,9,2487,283683.0,36335.0,0.0,0.0,0.0,5184.0,0.0,9,1,51.0,1.0,1.33333333333333,0.0,400.0,99.0,6334470.0,0.085178420961609,0,1
3476,3476,1685.0,25,24,34,2446,525.0,315.0,0.0,110.0,420.0,315.0,0.0,0,0,208.900543597938,0.42121494001469,0.516399705106806,-0.708181260114876,3.0,85.0,31500.0,0.0057065217391304,0,0
3488,3488,62782.0,2743,575,0,2437,16410.0,6724.0,21788.0,34.0,8290.0,9396.0,140.0,8,1,48.0,0.375,0.75,-1.125,15.0,89.0,1249020.0,0.0571111111111111,0,1
3511,3511,13725.0,161,89,14,3156,4200.0,1045.0,0.0,825.0,5765.0,1890.0,0.0,2,1,135.0,0.5,1.0,1.0,8.0,90.0,333450.0,0.0125168918918919,0,0
3513,3513,5912.0,218,79,1,3157,596.0,819.0,88.0,0.0,0.0,123.0,4286.0,0,0,149.264043734871,0.3592312224054739,0.481323459224242,-0.718395149501198,13.0,96.0,114120.0,0.0053045388536779,0,0
3514,3514,20003.0,303,131,10,3160,4563.0,1329.0,6745.0,1832.0,4205.0,1329.0,0.0,2,1,259.0,0.5,3.5,-2.0,9.0,90.0,358650.0,0.0273569794050343,0,0
3516,3516,14448.0,791,260,1,3156,4832.0,2150.0,4378.0,868.0,448.0,1738.0,34.0,3,1,41.0,0.666666666666667,0.333333333333333,-3.3333333333333304,3.0,83.0,250140.0,0.0514691358024691,0,0
3538,3538,109352.8,2482,1157,8,3152,20462.54,8522.34,17686.8,5119.73,44320.7,12132.69,1108.0,10,1,80.0,0.6,1.00416666666667,0.104166666666667,6.0,86.0,2078991.3,0.238143333333333,0,1
3539,3539,77442.75,1713,583,0,3151,18633.75,5972.0,19968.7,4293.35,0.0,7256.95,21318.0,10,1,9.0,0.2,0.9,0.1,6.0,88.0,1574188.4999999998,0.0787882132132132,0,1
3540,3540,89771.15,2065,695,2,3151,21676.9,5641.2,22817.9,3145.8,6117.0,6422.35,23950.0,5,1,19.0,0.2,2.5,1.5,8.0,89.0,1784461.5000000002,0.0669842905405405,0,1
3542,3542,84802.95,2796,734,1,3149,30422.15,31132.1,4162.95,837.5,3219.0,13911.25,1118.0,15,1,10.0,0.933333333333333,0.384615384615385,-0.0769230769230769,100.0,100.0,1555744.5,0.0051847780443911,0,1
3546,3546,3240.0,51,34,8,2425,840.0,105.0,0.0,55.0,1290.0,950.0,0.0,0,0,207.31535517117695,0.578952330000574,0.6359625715461329,-0.3434079365081829,2.0,81.0,67350.0,0.0244021739130435,0,0
3549,3549,5936.0,227,72,1,3058,3328.0,1248.0,0.0,384.0,80.0,896.0,0.0,4,1,255.0,0.25,0.333333333333333,-0.666666666666667,2.0,82.0,106710.0,0.0395222222222222,0,0
3551,3551,75460.2,1224,810,1,3053,15779.0,11267.0,8534.2,7356.0,24389.0,6961.0,1174.0,0,0,198.170232807152,0.512331409893389,0.6136768885792478,-0.284606856357782,50.0,94.0,1563035.9999999998,0.0142938820301783,0,1
3556,3556,636.0,36,10,14,7967,548.0,17.0,36.0,0.0,0.0,35.0,0.0,1,1,525.0,0.0,0.0,-1.0,11.0,96.0,16530.0,0.0063679154237426,1,0
3569,3569,25490.0,359,177,16,2477,3990.0,12120.0,1650.0,2255.0,2760.0,2715.0,0.0,5,1,16.0,0.4,0.0,-0.4,10.0,92.0,493200.0,0.0172902720239275,0,0
3570,3570,2399.0,37,36,31,2439,735.0,315.0,110.0,0.0,385.0,750.0,104.0,3,1,434.0,0.0,1.6666666666666698,0.0,1.0,76.0,49980.0,0.0273114754098361,0,0
3573,3573,2082.0,121,56,31,2425,612.0,36.0,492.0,34.0,0.0,908.0,0.0,7,1,93.0,0.4285714285714289,0.142857142857143,-0.5714285714285711,2.0,81.0,42060.0,0.00701,0,0
3576,3576,61935.0,1119,883,6,2387,17885.0,2115.0,15865.0,7755.0,12665.0,5580.0,70.0,0,0,170.480591233521,0.488208288113875,0.502612217757423,-0.667788963269026,26.0,96.0,1141290.0,0.0314665012406948,0,1
3579,3579,64761.0,3572,1093,1,2451,22250.0,3677.0,7483.0,3683.0,7016.0,16976.0,3676.0,28,1,7.0,0.535714285714286,0.363636363636364,-0.181818181818182,7.61865840635883,56.0,1140600.0,0.0761299147274288,0,1
3584,3584,3310.0,115,75,21,2438,432.0,0.0,618.0,144.0,354.0,216.0,1546.0,0,0,195.692509124497,0.5361883340726921,0.723496021630049,-0.348552863182768,10.0,89.0,74970.0,0.0014919402985074,0,0
3588,3588,60852.8,2985,842,1,2450,11556.0,21206.0,5640.0,0.0,6960.8,4036.0,11454.0,3,1,3.0,0.666666666666667,0.333333333333333,-0.666666666666667,6.0,85.0,1218816.0,0.0377927441860465,0,1
3595,3595,49906.0,1595,733,7,2435,4998.0,4988.0,6114.0,1662.0,2582.0,2686.0,26876.0,2,1,278.0,1.0,2.0,0.0,14.0,88.0,1013490.0,0.0290731497418244,0,1
3602,3602,3128.2,160,67,1,2437,1023.0,103.0,0.0,0.0,977.6,395.0,629.6,1,1,423.0,1.0,0.0,-1.0,3.0,75.0,67626.0,0.0244070372699992,1,0
3603,3603,13086.2,697,362,6,2472,2748.0,1790.0,3091.2,450.0,1687.0,1306.0,2014.0,4,1,118.0,0.5,0.75,-0.75,2.0,73.0,263526.0,0.0482648351648352,0,0
3612,3612,31200.0,362,217,9,2456,7980.0,4830.0,890.0,3300.0,11470.0,2730.0,0.0,3,1,374.0,0.666666666666667,0.5,-0.5,40.0,86.0,527550.0,0.0005141361868841,0,0
3614,3614,22860.8,1801,270,16,2436,6181.0,3048.0,0.0,1847.0,5276.8,2956.0,3552.0,0,0,208.244581713472,0.5408095210242899,0.790601651393984,-0.613555730505349,20.0,92.0,385374.0,0.0110644272179156,0,0
3618,3618,12806.95,559,382,13,2439,1226.7,2845.15,458.0,1373.15,3548.55,1653.4,1702.0,1,1,48.0,1.0,0.0,-3.0,20.0,91.0,236187.0,0.0064059397884458,0,0
3620,3620,63715.0,3145,784,6,2436,38336.0,7736.0,0.0,0.0,3938.0,13705.0,0.0,5,1,7.0,0.6,0.0,-1.2,6.0,86.0,1206120.0,0.142063604240283,0,1
3627,3627,44633.0,1224,336,12,2456,13701.0,6898.0,920.0,2695.0,13385.0,6966.0,68.0,6,1,14.0,0.166666666666667,0.0,-0.666666666666667,6.0,86.0,862230.0,0.0697597087378641,0,0
3629,3629,19070.0,221,105,45,2453,5775.0,2205.0,5760.0,1650.0,845.0,2835.0,0.0,1,1,450.0,0.0,0.0,-1.0,20.0,91.0,298200.0,0.0102263374485597,0,0
3631,3631,16286.0,557,224,2,2453,3684.0,1439.0,4508.0,1430.0,3440.0,1785.0,0.0,1,1,384.0,0.0,0.8214548567492159,-0.49965169823225,17.0,92.0,320880.0,0.0129491525423729,0,0
3632,3632,835570.0,8391,560,6,2453,311325.0,316515.0,85155.0,30250.0,2860.0,89465.0,0.0,15,1,150.0,0.6,0.923076923076923,-0.0769230769230769,20.0,95.0,14963100.0,0.0177334139230605,0,1
3639,3639,141085.4,5237,3012,7,2471,10114.15,3444.85,18052.6,12170.25,61180.15,7812.4,28311.0,5,1,42.0,0.0,0.4,-1.4,3.0,71.0,2791931.9999999995,0.211192569059519,0,1
3646,3646,103453.8,4019,815,6,2432,25625.6,22877.6,4070.0,4444.0,12495.0,31911.6,2030.0,0,0,163.577647419859,0.5770485656861021,0.518672467468599,-0.5375546606123789,240.0,98.0,1958214.0,0.0168471246105187,0,1
3649,3649,94224.0,2536,1622,6,2458,36131.0,16607.0,50.0,2124.0,17965.0,19249.0,2098.0,1,1,191.0,1.0,1.0,0.0,4.0,85.0,1854030.0,0.30443842364532,0,1
3654,3654,390.0,8,6,20,2436,105.0,105.0,0.0,55.0,20.0,105.0,0.0,0,0,200.130258556758,0.438354911436484,0.6191455227070191,-0.7889310552998979,40.0,93.0,1800.0,3.69458128078818e-05,1,0
3657,3657,34879.2,1817,503,6,2422,6561.4,7086.8,12869.0,185.0,240.0,7315.8,621.2,4,1,345.0,0.25,1.6666666666666698,0.666666666666667,140.0,91.0,801666.0,0.00152228551897,0,0
3665,3665,4328.8,151,89,2,2428,1183.0,851.0,1105.8,140.0,0.0,643.0,406.0,2,1,218.0,1.0,1.0,0.0,1.0,80.0,105504.0,0.02512,0,0
3671,3671,20955.2,596,443,8,2449,2656.0,1996.0,0.0,1922.0,4828.0,2346.0,7207.2,5,1,20.0,0.2,2.6666666666666696,-0.333333333333333,6.0,81.0,409536.00000000006,0.0384540845070423,0,0
3681,3681,90792.4,4429,2246,6,2428,9260.0,28381.0,4991.0,1883.0,19002.4,5669.0,21606.0,0,0,194.493506846117,0.7064270095141422,0.7388229733591241,-0.270768981779861,3.0,83.0,1820652.0,0.12162004008016,0,1
3687,3687,62607.25,1224,556,6,2423,26198.15,9281.35,5486.05,9277.65,1477.4,10886.65,0.0,14,1,101.0,0.4285714285714289,0.9090909090909092,-0.363636363636364,15.0,91.0,1182826.5,0.0562447218259629,0,1
3688,3688,111477.6,3822,2518,3,2410,10135.0,9251.0,8301.0,7687.0,31956.6,3477.0,40670.0,0,0,219.07399232796,0.749688573828373,0.35743728637128,-0.948960288496958,50.0,100.0,2091648.0,0.125448479205972,0,1
